code,categorie,numero_source,intitule,type_diplome,ies_sigles,nb_ies,profils_entree,nb_competences,competences,metiers,secteurs,url_source
LIC-001,Licence,1,Licence professionnelle en Microbiologie et Immunologie,Licence professionnelle,UGANC ; UL,2,SE + SE-FA,11,"1. Identifier et caractériser différents microorganismes: bactéries, virus, champignons et parasites
2. Réaliser des analyses microbiologiques sur des échantillons biologiques, alimentaires, environnementaux et hydriques
3. Mettre en œuvre les techniques de culture, isolement, identification et dénombrement des microorganismes
4. Réaliser des analyses liées à la qualité microbiologique de l’eau et des aliments
5. Expliquer les mécanismes de l’immunité et les principales réponses immunitaires
6. Participer à la réalisation et à l’interprétation de tests immunologiques et sérologiques
7. Appliquer les règles de biosécurité, d’hygiène et de prévention des risques biologiques
8. Participer au contrôle de la qualité dans les laboratoires
9. Exploiter et interpréter des résultats d’analyses microbiologiques et immunologiques
10. Utiliser les outils informatiques et statistiques pour le traitement des données biologiques
11. Participer à des activités de recherche scientifique en microbiologie, immunologie, biotechnologie et santé","1. Technicien supérieur de laboratoire de microbiologie
2. Technicien en contrôle microbiologique des eaux et aliments
3. Assistant de recherche en immunologie
4. Agent d’hygiène et de biosécurité
5. Technicien qualité en industrie agroalimentaire ou pharmaceutique","— Secteur de la santé —
• Laboratoires d’analyses biomédicales, selon la réglementation nationale
• Laboratoires hospitaliers et centres de diagnostic
• Laboratoires de recherche en santé
• Structures de surveillance et de contrôle des maladies infectieuses
— Secteur agroalimentaire —
• Laboratoires de contrôle microbiologique des aliments
• Industries agroalimentaires
• Contrôle qualité et hygiène alimentaire
• Laboratoires d’analyse des produits laitiers, boissons, viandes et autres denrées
— Secteur de l’eau et de l’environnement —
• Laboratoires d’analyse et de contrôle de la qualité de l’eau
• Structures de traitement et de distribution d’eau
• Laboratoires environnementaux
• Contrôle de la pollution microbiologique des sols et des eaux
— Industries pharmaceutiques et biotechnologiques —
• Laboratoires pharmaceutiques
• Entreprises de biotechnologie
• Contrôle qualité et assurance qualité
• Production et contrôle de produits biologiques
— Recherche et enseignement —
• Laboratoires et centres de recherche
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de recherche en microbiologie, immunologie, maladies infectieuses et biotechnologies",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-002,Licence,2,Licence professionnelle en Biologie Médicale,Licence professionnelle,UGANC ; UL ; UK ; UZ,4,SE + SE-FA,12,"1. Réaliser les prélèvements biologiques
2. Analyser la numération et la coagulation sanguines
3. Réaliser les analyses biochimiques du sang et des urines
4. Rechercher les agents infectieux
5. Rechercher les parasites dans les échantillons
6. Analyser les groupes sanguins et la transfusion
7. Conduire les automates d’analyse
8. Mettre en œuvre le contrôla qualité des analyses
9. Gérer les réactifs et les stocks
10. Assurer la traçabilité et l’archivage des résultats
11. Appliquer les règles d’hygiène et la gestion des déchets de laboratoire
12. Réaliser l’interprétation et la validation technique des résultats","1. Technicien supérieur de laboratoire d’analyses biomédicales
2. Technicien de laboratoire hospitalier
3. Assistant qualité en biologie médicale
4. Technicien de banque de sang
5. Délégué technique en réactifs et équipements de laboratoire","— Secteur de la santé —
• Laboratoires d’analyses de biologie médicale
• Laboratoires hospitaliers et centres de diagnostic
• Banques de sang et centres de transfusion
• Structures de dépistage et de suivi des patients
— Santé publique et surveillance sanitaire —
• Programmes nationaux de lutte contre les maladies
• Structures de surveillance épidémiologique
• Laboratoires de référence en santé publique
— Industries pharmaceutiques et contrôle qualité —
• Laboratoires pharmaceutiques
• Services d’assurance et de contrôle qualité
• Unités de production de réactifs et de consommables
— Recherche et enseignement —
• Laboratoires et centres de recherche biomédicale
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de recherche clinique",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-003,Licence,3,Licence professionnelle en Bioinformatique et Analyse des Données Biologiques,Licence professionnelle,UGANC,1,SE + SE-FA,12,"1. Mettre en œuvre la programmation appliquée à la biologie
2. Gérer les bases de données biologiques
3. Réaliser l’alignement et comparaison de séquences
4. Analyser les génomes complets
5. Mobiliser les statistiques appliquées aux données biologiques
6. Mettre en œuvre l’apprentissage automatique appliqué au vivant
7. Assurer la visualisation des données scientifiques
8. Modéliser les structures de protéines
9. Traiter les données de santé publique
10. Mettre en œuvre l’automatisation des traitements de données
11. Rédiger des rapports d’analyse
12. Assurer la veille scientifique et technologique","1. Bio-informaticien junior
2. Analyste de données biologiques et génomiques
3. Gestionnaire de bases de données scientifiques
4. Assistant de recherche en génomique
5. Analyste de données de santé publique","— Santé et recherche biomédicale —
• Laboratoires de génomique et de biologie moléculaire
• Centres de recherche en santé
• Structures de surveillance épidémiologique et de traitement des données sanitaires
— Industries pharmaceutiques et biotechnologiques —
• Entreprises de biotechnologie
• Laboratoires pharmaceutiques, en appui à la recherche et au développement
• Unités d’analyse et de valorisation des données biologiques
— Numérique et gestion des données —
• Services informatiques et bases de données scientifiques
• Entreprises de développement logiciel appliqué aux sciences du vivant
• Structures de gestion et de sécurisation des données de santé
— Recherche et enseignement —
• Laboratoires de bioinformatique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de recherche en génomique et en intelligence artificielle appliquée au vivant",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-004,Licence,4,Licence professionnelle en Biochimie,Licence professionnelle,UGANC ; UJNK,2,SE + SE-FA,12,"1. Doser les protéines et les sucres
2. Analyser les enzymes et leur activité
3. Séparer les molécules par chromatographie
4. Réaliser des mesures par spectrophotométrie
5. Analyser le métabolisme
6. Réaliser les analyses biochimiques cliniques
7. Assurer le contrôle biochimique des aliments
8. Purifier des biomolécules
9. Préparer des solutions et les milieux
10. Mettre en œuvre le contrôla qualité en laboratoire
11. Assurer la sécurité et la manipulation des produits chimiques
12. Interpréter les résultats d’analyse","1. Technicien supérieur de laboratoire de biochimie
2. Technicien de contrôle qualité physico-chimique
3. Assistant de recherche en biochimie
4. Technicien en analyses agroalimentaires
5. Technicien en laboratoire d’analyses environnementales","— Secteur de la santé —
• Laboratoires de biochimie clinique
• Laboratoires hospitaliers et centres de diagnostic
• Structures de suivi biologique des patients
— Industries agroalimentaires et pharmaceutiques —
• Laboratoires de contrôle qualité
• Unités de production pharmaceutique et de compléments nutritionnels
• Industries de transformation agroalimentaire
— Environnement et biotechnologies —
• Laboratoires d’analyse environnementale
• Entreprises de biotechnologie
• Unités de purification et de valorisation de biomolécules
— Recherche et enseignement —
• Laboratoires et centres de recherche
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de recherche en biochimie et en enzymologie",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-005,Licence,5,Licence fondamentale en Biologie,Licence fondamentale,UGANC ; UJNK ; UK,3,SE + SE-FA,12,"1. Réaliser l’observation et la description du monde vivant
2. Mettre en œuvre les techniques de microscopie
3. Réaliser la dissection et l’anatomie comparée
4. Analyser la physiologie des organismes
5. Conduire l’analyse génétique et hérédité
6. Analyser les écosystèmes et la biodiversité
7. Mettre en œuvre les techniques de base de laboratoire
8. Conduire l’expérimentation et démarche scientifique
9. Assurer le traitement statistique des données biologiques
10. Enseigner les sciences de la vie
11. Assurer la rédaction et la communication scientifiques
12. Encadrer le travaux pratiques","1. Assistant de recherche en sciences biologiques
2. Technicien de laboratoire de biologie
3. Enseignant de sciences de la vie (après formation pédagogique)
4. Assistant en gestion de la biodiversité
5. Préparateur en laboratoire pédagogique","— Recherche et enseignement —
• Laboratoires et centres de recherche en sciences de la vie
• Établissements d’enseignement secondaire et supérieur, notamment après formation pédagogique
• Laboratoires pédagogiques et plateformes de travaux pratiques
— Santé et laboratoires d’analyses —
• Laboratoires d’analyses biologiques
• Structures de diagnostic et de suivi sanitaire
• Programmes de santé publique
— Environnement et biodiversité —
• Structures de gestion des aires protégées
• Projets d’inventaire et de suivi de la biodiversité
• Organismes de protection de l’environnement
— Agriculture et agroalimentaire —
• Laboratoires de contrôle des produits agricoles
• Structures d’appui aux productions végétales et animales
• Projets de développement rural",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-006,Licence,6,Licence fondamentale en Chimie,Licence fondamentale,UGANC ; UJNK ; UK ; UZ,4,SE + SE-FA + SM,12,"1. Synthétiser des composés chimiques
2. Conduire la purification et la cristallisation
3. Réaliser des analyses par spectroscopie
4. Réaliser des analyses par chromatographie
5. Réaliser le titrage et analyse quantitative
6. Analyser les réactions et leur vitesse
7. Modéliser les molécules
8. Assurer la sécurité chimique et la gestion des produits dangereux
9. Assurer la préparation et la normalisation des solutions
10. Enseigner la chimie
11. Rédiger des protocoles expérimentaux
12. Encadrer le travaux pratiques","1. Technicien supérieur de laboratoire de chimie
2. Technicien de contrôle qualité
3. Assistant de recherche en chimie
4. Enseignant de sciences physiques (après formation pédagogique)
5. Technicien en analyses industrielles","— Recherche et enseignement —
• Laboratoires et centres de recherche en chimie
• Établissements d’enseignement secondaire et supérieur, notamment après formation pédagogique
• Laboratoires pédagogiques et plateformes de travaux pratiques
— Industries et contrôle qualité —
• Industries chimiques et parachimiques
• Laboratoires de contrôle et d’assurance qualité
• Unités de production de peintures, savons, engrais et matériaux
— Mines, énergie et environnement —
• Laboratoires d’analyse des minerais
• Laboratoires environnementaux
• Structures de contrôle de la pollution et de traitement des effluents
— Santé et agroalimentaire —
• Laboratoires pharmaceutiques
• Laboratoires d’analyse des denrées alimentaires
• Services d’hygiène et de sécurité sanitaire",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-007,Licence,7,Licence professionnelle en Chimie Alimentaire et Contrôle Qualité,Licence professionnelle,UGANC ; UJNK ; UZ,3,SE + SE-FA + SM,12,"1. Analyser la composition des aliments
2. Rechercher les additifs et les contaminants
3. Réaliser les analyses microbiologiques des denrées
4. Appliquer la méthode de maîtrise des risques sanitaires
5. Mettre en œuvre des normes internationales de qualité
6. Contrôler les procédés de conservation
7. Assurer l’étiquetage et conformité réglementaire
8. Assurer la traçabilité des produits alimentaires
9. Réaliser l’audit interne de la qualité
10. Conduire l’analyse sensorielle des produits
11. Gérer les non-conformités
12. Former le personnel à l’hygiène","1. Technicien qualité en industrie agroalimentaire
2. Responsable HACCP junior
3. Technicien de laboratoire d’analyses alimentaires
4. Inspecteur adjoint de la sécurité sanitaire des aliments
5. Assistant en certification et normalisation","— Secteur agroalimentaire —
• Industries de transformation des produits alimentaires
• Laboratoires de contrôle physico-chimique et microbiologique des aliments
• Services qualité, hygiène et sécurité des aliments
• Unités de production de boissons, produits laitiers, huiles et conserves
— Contrôle officiel et normalisation —
• Services publics d’inspection et de contrôle sanitaire
• Organismes de normalisation et de certification
• Structures de protection du consommateur
— Commerce et exportation —
• Entreprises exportatrices de produits agricoles et alimentaires
• Services de conformité et de traçabilité à l’exportation
• Centrales d’achat et grandes surfaces de distribution
— Recherche et enseignement —
• Laboratoires de recherche en sciences alimentaires
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de sécurité sanitaire des aliments",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-008,Licence,8,Licence professionnelle en Chimie Environnementale,Licence professionnelle,UGANC ; UZ,2,SE + SE-FA + SM,12,"1. Prélever des échantillons d’eau, d’air et le sol
2. Analyser les polluants chimiques
3. Mesurer la qualité de l’eau
4. Assurer le suivi de la qualité de l’air
5. Traiter les eaux usées
6. Assurer la gestion et la valorisation des déchets
7. Évaluer les impacts environnementaux
8. Appliquer la réglementation environnementale
9. Réaliser la cartographie des zones polluées
10. Assurer le suivi environnemental des sites industriels
11. Sensibiliser à la protection de l’environnement
12. Rédiger des rapports environnementaux","1. Technicien en analyses environnementales
2. Chargé d’études pollution et qualité des milieux
3. Technicien de station de traitement des eaux
4. Assistant HSE en industrie ou en mine
5. Technicien de surveillance de la qualité de l’air","— Environnement et assainissement —
• Laboratoires d’analyse de l’eau, de l’air et des sols
• Stations de traitement des eaux usées et unités de potabilisation
• Services de gestion et de valorisation des déchets
• Structures de surveillance de la pollution
— Mines et industries —
• Services environnementaux des sociétés minières
• Industries soumises au contrôle des rejets
• Bureaux d’études et d’audit environnemental
— Administration et réglementation —
• Services publics chargés de l’environnement
• Agences d’inspection et de contrôle environnemental
• Projets de mise en conformité réglementaire
— Recherche, enseignement et coopération —
• Laboratoires et centres de recherche en chimie de l’environnement
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes environnementaux des organisations de développement",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-009,Licence,9,Licence fondamentale en Mathématiques,Licence fondamentale,UGANC ; UJNK ; UL ; UK ; UZ,5,SE + SE-FA + SM,12,"1. Développer le raisonnement logique et la démonstration
2. Mobiliser l’algèbre et structures mathématiques
3. Conduire l’analyse et calcul différentiel
4. Mobiliser la géométrie et la topologie
5. Mobiliser les probabilités et statistiques
6. Réaliser le calcul numérique assisté par ordinateur
7. Modéliser des problèmes concrets
8. Résoudre des problèmes complexes
9. Enseigner les mathématiques
10. Assurer la rédaction mathématique rigoureuse
11. Assurer le traitement quantitatif de données
12. Assurer l’encadrement et tutorat scientifique","1. Enseignant de mathématiques (après formation pédagogique)
2. Assistant de recherche en mathématiques
3. Analyste de données junior
4. Assistant statisticien
5. Formateur en sciences exactes","— Enseignement et recherche —
• Établissements d’enseignement secondaire, notamment après formation pédagogique
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Laboratoires et centres de recherche en mathématiques
— Statistique et analyse de données —
• Instituts et services nationaux de statistique
• Services d’études et de prévision des administrations
• Entreprises de traitement et d’analyse de données
— Banque, assurance et finance —
• Banques et établissements de microfinance
• Compagnies d’assurance, en analyse actuarielle et gestion des risques
• Services de contrôle de gestion et d’audit
— Numérique et ingénierie —
• Entreprises de développement informatique et de calcul scientifique
• Bureaux d’études techniques
• Projets de modélisation et d’aide à la décision",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
LIC-010,Licence,10,"Licence professionnelle en Mathématiques, Intelligence Artificielle et Analyse Prédictive",Licence professionnelle,UGANC ; UL,2,SE + SE-FA + SM,12,"1. Mobiliser l’algèbre linéaire appliquée aux algorithmes
2. Mobiliser les probabilités et statistiques avancées
3. Mettre en œuvre la programmation scientifique
4. Assurer le nettoyage et la préparation des données
5. Mettre en œuvre l’apprentissage automatique supervisé
6. Mettre en œuvre l’apprentissage automatique non supervisé
7. Construire des modèles prédictifs
8. Conduire l’évaluation et la validation des modèles
9. Traiter les grands volumes de données
10. Assurer la visualisation et la restitution des résultats
11. Mettre en œuvre l’automatisation des traitements
12. Respecter l’éthique et la protection des données","1. Analyste de données / data analyst junior
2. Assistant ingénieur en intelligence artificielle
3. Chargé d’analyse prédictive
4. Développeur de modèles d’apprentissage automatique
5. Consultant junior en aide à la décision","— Numérique et intelligence artificielle —
• Entreprises de développement logiciel et de solutions d’intelligence artificielle
• Services de traitement et de valorisation des données
• Start
— up et incubateurs technologiques. —
• Banque, assurance et télécommunications —
• Banques et établissements de microfinance, en analyse prédictive et gestion des risques
• Compagnies d’assurance
• Opérateurs de télécommunications, en analyse de la clientèle
— Administration et statistique publique —
• Instituts et services nationaux de statistique
• Services d’études, de planification et de prévision
• Projets de modernisation numérique des administrations
— Recherche et enseignement —
• Laboratoires et centres de recherche en mathématiques appliquées
• Universités et institutions d’enseignement supérieur, notamment après poursuite d’études
• Projets et programmes de recherche en apprentissage automatique",https://parcoursupguinee.org/offre-de-formation-en-licence-professionnelle-et-fondamentale
