code_formation,intitule,type_diplome,categorie,ies_sigle,profils_entree
LIC-001,Licence professionnelle en Microbiologie et Immunologie,Licence professionnelle,Licence,UGANC,SE + SE-FA
LIC-001,Licence professionnelle en Microbiologie et Immunologie,Licence professionnelle,Licence,UL,SE + SE-FA
LIC-002,Licence professionnelle en Biologie Médicale,Licence professionnelle,Licence,UGANC,SE + SE-FA
LIC-002,Licence professionnelle en Biologie Médicale,Licence professionnelle,Licence,UL,SE + SE-FA
LIC-002,Licence professionnelle en Biologie Médicale,Licence professionnelle,Licence,UK,SE + SE-FA
LIC-002,Licence professionnelle en Biologie Médicale,Licence professionnelle,Licence,UZ,SE + SE-FA
LIC-003,Licence professionnelle en Bioinformatique et Analyse des Données Biologiques,Licence professionnelle,Licence,UGANC,SE + SE-FA
LIC-004,Licence professionnelle en Biochimie,Licence professionnelle,Licence,UGANC,SE + SE-FA
LIC-004,Licence professionnelle en Biochimie,Licence professionnelle,Licence,UJNK,SE + SE-FA
LIC-005,Licence fondamentale en Biologie,Licence fondamentale,Licence,UGANC,SE + SE-FA
LIC-005,Licence fondamentale en Biologie,Licence fondamentale,Licence,UJNK,SE + SE-FA
LIC-005,Licence fondamentale en Biologie,Licence fondamentale,Licence,UK,SE + SE-FA
LIC-006,Licence fondamentale en Chimie,Licence fondamentale,Licence,UGANC,SE + SE-FA + SM
LIC-006,Licence fondamentale en Chimie,Licence fondamentale,Licence,UJNK,SE + SE-FA + SM
LIC-006,Licence fondamentale en Chimie,Licence fondamentale,Licence,UK,SE + SE-FA + SM
LIC-006,Licence fondamentale en Chimie,Licence fondamentale,Licence,UZ,SE + SE-FA + SM
LIC-007,Licence professionnelle en Chimie Alimentaire et Contrôle Qualité,Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-007,Licence professionnelle en Chimie Alimentaire et Contrôle Qualité,Licence professionnelle,Licence,UJNK,SE + SE-FA + SM
LIC-007,Licence professionnelle en Chimie Alimentaire et Contrôle Qualité,Licence professionnelle,Licence,UZ,SE + SE-FA + SM
LIC-008,Licence professionnelle en Chimie Environnementale,Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-008,Licence professionnelle en Chimie Environnementale,Licence professionnelle,Licence,UZ,SE + SE-FA + SM
LIC-009,Licence fondamentale en Mathématiques,Licence fondamentale,Licence,UGANC,SE + SE-FA + SM
LIC-009,Licence fondamentale en Mathématiques,Licence fondamentale,Licence,UJNK,SE + SE-FA + SM
LIC-009,Licence fondamentale en Mathématiques,Licence fondamentale,Licence,UL,SE + SE-FA + SM
LIC-009,Licence fondamentale en Mathématiques,Licence fondamentale,Licence,UK,SE + SE-FA + SM
LIC-009,Licence fondamentale en Mathématiques,Licence fondamentale,Licence,UZ,SE + SE-FA + SM
LIC-010,"Licence professionnelle en Mathématiques, Intelligence Artificielle et Analyse Prédictive",Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-010,"Licence professionnelle en Mathématiques, Intelligence Artificielle et Analyse Prédictive",Licence professionnelle,Licence,UL,SE + SE-FA + SM
LIC-011,Licence professionnelle en Modélisation mathématique et Simulation numérique,Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-011,Licence professionnelle en Modélisation mathématique et Simulation numérique,Licence professionnelle,Licence,UJNK,SE + SE-FA + SM
LIC-011,Licence professionnelle en Modélisation mathématique et Simulation numérique,Licence professionnelle,Licence,UL,SE + SE-FA + SM
LIC-011,Licence professionnelle en Modélisation mathématique et Simulation numérique,Licence professionnelle,Licence,UK,SE + SE-FA + SM
LIC-011,Licence professionnelle en Modélisation mathématique et Simulation numérique,Licence professionnelle,Licence,UZ,SE + SE-FA + SM
LIC-012,Licence professionnelle en Mathématiques Appliquées,Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-013,Licence fondamentale en Physique,Licence fondamentale,Licence,UGANC,SE + SE-FA + SM
LIC-013,Licence fondamentale en Physique,Licence fondamentale,Licence,UK,SE + SE-FA + SM
LIC-013,Licence fondamentale en Physique,Licence fondamentale,Licence,UZ,SE + SE-FA + SM
LIC-014,Licence professionnelle en Électronique et Énergétique,Licence professionnelle,Licence,UGANC,SE + SE-FA + SM
LIC-014,Licence professionnelle en Électronique et Énergétique,Licence professionnelle,Licence,UJNK,SE + SE-FA + SM
LIC-014,Licence professionnelle en Électronique et Énergétique,Licence professionnelle,Licence,UL,SE + SE-FA + SM
LIC-014,Licence professionnelle en Électronique et Énergétique,Licence professionnelle,Licence,UZ,SE + SE-FA + SM
